School_Name,Alp_Domain,Alp_Title,Domain 1,Llp_Title1,Domain 2,Llp_Title2
Chij St. Nicholas Girls' School,Nil,Na,Community Service & Student Leadership,A Leader In Every St Nicks Girl (Student Leadership),Nil,Na
Maris Stella High School,Nil,Na,Sports & Outdoor Education,The Marist Sports & Life Skills Experience,Nil,Na
Admiralty Primary School,Nil,Na,Music & Performing Arts,Appreciating Diversity And Building Cross-Cultural Skills Programme,Community Service & Student Leadership,High Performance Mind-Set For Personal Leadership
Ahmad Ibrahim Primary School,Science,Sustainability Education – Nurturing Students To Be Stewards Of Our Environment,Community Service & Student Leadership,From Values To Action - Nurturing Community-Based Student Leaders,Nil,Na
Ai Tong School,Nil,Na,Music & Performing Arts,Caring Through Arts,Sports & Outdoor Education,Character And Leadership Development Through Outdoor Education Programme
Alexandra Primary School,Nil,Na,Community Service & Student Leadership,Cultural Intelligence (Cq) ? The Code Of Life,Nil,Na
Anchor Green Primary School,Nil,Na,Community Service & Student Leadership,Serve And Lead Through Environmental Education,Music & Performing Arts/ Visual Arts & Design,"A.G.P.S Arts (Aspire, Grow, Passion And Serve Through The Arts)"
Anderson Primary School,Nil,Na,Sports & Outdoor Education,Andersonians Living Actively Through Values-Based Experiences (Alive) Programme,Music & Performing Arts,Values Inculcation Via Arts And Creative Experiences (Vivace) @ Anderson
Angsana Primary School,Coding,Nurturing Problem Solvers Through Computational Thinking,Community Service & Student Leadership,Nurturing And Developing 21St Century Leaders Through Enrichment And Lifeskills (Enl) Programmes,Nil,Na
Ang Mo Kio Primary School,Nil,Na,Community Service & Student Leadership,Amkp Leadership-Inspired Values Education (Alive),Nil,Na
Anglo-Chinese School (Junior),InterdiscipliNilry,Creative Thinkers,Sports & Outdoor Education,"All For Sports, Sports For All @ Acs (Junior)",Nil,Na
Anglo-Chinese School (Primary),Nil,Na,Sports & Outdoor Education,Building Character Through Sports,Music & Performing Arts/ Visual Arts & Design,The Arts At Acs(P)
Balestier Hill Primary School,Nil,Na,Sports & Outdoor Education,The Altos Experience @ Bhps (Active Learning Through Outdoor Activities And Sports At Balestier Hill Primary School),Nil,Na
Beacon Primary School,Science,Stimulating Senses Through Science (S3),Community Service & Student Leadership,Beacons At Your Service,Nil,Na
Bedok Green Primary School,Nil,Na,Sports & Outdoor Education,Sports To Reinforce Values Education Or Strive @ Bgps,Nil,Na
Bendemeer Primary School,Nil,Na,Community Service & Student Leadership,"Developing Bendemeerians To Be Confident Leaders, Rooted In Values",Music & Performing Arts,Bendemeer’S Tempo (Towards Enhancement Of Music And Performing Arts Opportunities)
Blangah Rise Primary School,Nil,Na,Sports & Outdoor Education,"The Rise3 (Explore, Empower, Enrich) Outdoor Experience",Nil,Na
Boon Lay Garden Primary School,InterdiscipliNilry,Thinking Curriculum Through Habits Of Mind @ Blgps - Developing Self-Directed Learners,Community Service & Student Leadership,Environment Education At Boon Lay Garden Primary School,Nil,Na
Bukit Panjang Primary School,Nil,Na,Music & Performing Arts,I2 Can Dance!,Nil,Na
Bukit Timah Primary School,InterdiscipliNilry,Inquiry-Based Learning Supported By Thinking Routines,Music & Performing Arts,Music For Everyone - Building Empathy And Resilience,Nil,Na
Bukit View Primary School,InterdiscipliNilry,"Developing Thinkers, Collaborators And Communicators",Music & Performing Arts,Nurturing Values And Character Through Aesthetics,Nil,Na
